,CHINA,,,,,,,,INDIA,,,,,,,,BRAZIL,,,,,,,,RUSSIA,,,,,,,,MEXICO,,,,,,,,INDONESIA,,,,,,,,TURKEY,,,,,,,,THAILAND,,,,,,,,MALAYSIA,,,,,,,,PHILIPPINES,,,,,,
19-Oct,5.8,49.3,-0.82884,3.7551,18.2361,0.512423,-1.00917,,3.2825,50.6,-1.66436,4.6198,10.9522,0.421194,3.484781,,1.64,52.2,-10.598,2.54,24.55429,0.858961,1.486137,,2.1126,47.2,-10.1631,3.8,27.1903,0.954119,0.667355,,-0.63,50.4,-1.42187,3.0195,4.7111,1.310421,2.867682,,4.9572,47.7,-6.4592,2.8642,8.95815,-0.09797,-1.68442,,6.36,49,4.68155,8.5528,4.5625,-1.49993,2.890853,,1.3,50.032,-4.47854,0.11,12.271,0.712016,-0.44296,,3.6,49.3,-7.09364,1.08,6.1629,-0.0752,-0.74434,,6.65532,52.1,0.521332,0.8,9.1698,1.171356,0.272313
19-Nov,5.8,50.2,-1.27155,4.884,18.0451,0.848088,1.2958,,3.2825,51.2,-1.15064,5.5398,11.2101,-0.60112,3.946043,,1.64,52.9,-15.2937,3.27,24.45592,-1.78318,1.09416,,2.1126,45.6,-11.7494,3.5,26.9534,0.69225,5.986174,,-0.63,48,-2.94294,2.9745,4.7333,0.075692,0.927974,,4.9572,48.2,-6.10839,2.6973,8.88547,0.372794,-0.04614,,6.36,49.5,4.84872,10.5618,4.5247,0.882327,8.413591,,1.3,49.291,-7.4267,0.21,12.226,0.347693,1.026486,,3.6,49.5,-4.74722,0.91,6.1273,0.728711,2.287319,,6.65532,51.4,-0.24111,1.3,9.2195,1.403362,1.35269
19-Dec,5.8,50.2,8.054336,4.4552,17.9441,0.113832,2.969639,,3.2825,52.7,-2.69546,7.3519,11.3841,0.419129,0.743062,,1.64,50.2,-4.35275,4.31,24.14806,1.324861,6.873926,,2.1126,47.5,-4.05741,3,27.2247,1.586683,2.298282,,-0.63,47.1,3.132713,2.8286,4.7639,1.102918,1.546781,,4.9572,49.5,0.970602,2.5861,9.0509,0.38972,2.249244,,6.36,49.5,5.059642,11.8361,4.6347,-2.06399,4.153975,,1.3,50.078,-1.15044,0.87,12.3879,0.163439,-1.91225,,3.6,50,3.33231,0.99,5.9913,0.241705,0.222654,,6.65532,51.7,21.58145,2.5,9.4457,-0.11223,-2.38621
20-Jan,-6.8,50,-2.94352,5.3846,19.8564,1.377894,7.777667,,3.0074,55.3,-2.10569,7.5931,11.4533,-0.15061,2.027224,,-0.27,51,-19.5007,4.19,22.21469,-1.17086,4.663547,,1.6329,47.9,-4.00346,2.4,34.9096,1.457958,6.482465,,-1.37067,49,2.910922,3.2383,5.068,1.582845,4.163558,,2.9722,49.3,-2.82362,2.68,9.23026,2.047385,2.453014,,4.46,51.3,5.849946,12.1536,3.8958,-1.11596,9.626896,,-2.1,49.885,3.413007,1.05,12.1054,-0.84314,-0.5764,,0.7,48.8,-1.6623,1.58,5.9138,1.637127,2.410923,,-0.7087,52.1,9.364456,2.9,9.3477,-0.07367,-1.99115
20-Feb,-6.8,35.7,-40.6042,5.1748,20.7529,-1.1632,-1.0326,,3.0074,54.5,3.263032,6.5761,12.1826,-0.28848,-1.53317,,-0.27,52.3,-0.9846,4.01,24.6274,-4.67632,-6.88859,,1.6329,48.2,-17.2891,2.3,33.7266,-3.56409,-5.93824,,-1.37067,50,0.421891,3.6962,5.2799,-0.19269,-0.88841,,2.9722,51.9,9.948708,2.98,10.10539,-0.3871,-6.60967,,4.46,52.4,1.867969,12.3674,4.2006,-2.41184,-2.00637,,-2.1,49.479,-3.96207,0.74,13.6721,-2.87674,-7.68864,,0.7,48.5,7.689754,1.32,6.322,-2.03741,-5.02149,,-0.7087,52.3,2.83844,2.6,10.7875,0.144083,-5.10992
20-Mar,-6.8,52,-6.88832,4.2701,19.7811,-0.35754,-2.10371,,3.0074,51.8,-34.5725,5.8405,12.9441,-4.11897,-22.8723,,-0.27,48.4,5.272056,3.3,23.42357,-12.6222,-32.4321,,1.6329,47.5,-17.9221,2.5,31.6079,-16.3452,-30.374,,-1.37067,47.9,-1.73459,3.2491,5.3104,-18.534,-24.2526,,2.9722,45.3,-2.62946,2.96,9.2651,-10.238,-25.4129,,4.46,48.1,-18.3567,11.8592,3.4526,-4.53623,-22.8276,,-2.1,46.714,3.82567,-0.54,13.1834,-2.46537,-22.2821,,0.7,48.4,-11.2742,-0.17,6.5456,-3.28678,-16.7093,,-0.7087,39.7,-24.6737,2.5,11.4606,-0.40695,-19.6121
20-Apr,3.2,50.8,3.055174,3.292,19.984,-0.69765,-1.90927,,-24.3828,27.4,-60.281,7.2238,15.0607,-2.41813,-6.75246,,-10.9,36,-8.65872,2.4,24.42786,-8.81586,-16.1663,,-8.0265,31.3,-31.5792,3.1,32.1472,-0.53301,2.757999,,-18.6691,35,-40.9274,2.1481,5.6876,-8.28527,-15.232,,-5.3222,27.5,-6.92526,2.67,9.8932,-3.55223,-8.5496,,-10.3,33.4,-41.5219,10.9367,3.0422,-8.06819,-3.89458,,-12.1,36.771,2.129754,-2.99,13.9315,-1.6544,2.568338,,-17.1,31.3,-28.9601,-2.8902,6.5703,-1.22387,-1.58716,,-16.9,31.6,-49.8603,2.2,13.7046,0.51725,-2.2484
20-May,3.2,50.6,-3.47236,2.4377,20.3346,-0.56631,3.33992,,-24.3828,30.8,-36.4733,6.2676,16.4998,0.73536,4.1307,,-10.9,38.3,-14.8858,1.88,25.0681,-5.80587,-0.12939,,-8.0265,36.2,-34.0155,3,32.454,3.068237,6.400426,,-18.6691,38.3,-56.7214,2.8373,6.1269,2.944419,8.386477,,-5.3222,28.6,-29.132,2.1925,10.8528,5.554738,6.272815,,-10.3,40.9,-40.9965,11.39,3.2892,-0.99302,7.652157,,-12.1,41.648,-22.4741,-3.44,14.9868,1.688975,7.917109,,-17.1,45.6,-28.931,-2.883,6.9134,0.234177,5.795096,,-16.9,40.1,-26.8702,2.1,14.3969,0.218339,0.620942
20-Jun,3.2,50.9,0.209445,2.4834,20.0948,0.389195,6.011689,,-24.3828,47.2,-12.4128,6.2281,17.8197,-0.0925,9.935248,,-10.9,51.6,-4.83815,2.13,26.35537,7.698773,24.1182,,-8.0265,49.4,-23.9127,3.2,32.2498,4.650694,8.61788,,-18.6691,38.6,-12.7946,3.334,6.2843,4.835547,7.906396,,-5.3222,39.1,2.091252,1.9604,11.1463,5.027149,11.87319,,-10.3,53.9,15.52655,12.62239,3.1176,1.535009,9.480231,,-12.1,43.509,-23.0773,-1.58,15.6701,2.875004,9.194215,,-17.1,51,5.054686,-1.8946,6.9168,1.51526,8.421326,,-16.9,49.7,-12.5007,2.5,14.323,1.040249,10.56862
20-Jul,4.9,51.1,6.803384,2.7,19.9957,1.067343,15.26282,,-7.3464,46,-10.2146,6.7268,18.7921,1.031029,7.740201,,-3.9,58.2,-3.46049,2.31,27.30877,-1.56664,5.181618,,-3.3565,48.4,-26.9918,3.4,33.1832,-3.15642,-4.45038,,-8.6112,40.4,-8.85548,3.6234,6.4123,-0.32837,-0.99496,,-3.49,46.9,-10.0778,1.53831,11.6206,-3.03409,0.447877,,6.29,56.9,-6.64493,11.7641,2.8003,-0.8508,8.283513,,-6.4,45.86745,-11.3699,-0.98,16.419,-0.81286,-1.56021,,-2.6,50,-0.30271,-1.32,6.9166,0.24514,4.095852,,-11.4,48.3743,-9.13532,2.7,14.7809,1.279657,-1.31647
20-Aug,4.9,51,9.100725,2.4,19.7754,1.13753,5.88492,,-7.3464,52,-12.6607,6.6897,18.9479,0.447866,5.893474,,-3.9,64.7,-11.1227,2.44,27.91714,-3.33365,-1.75638,,-3.3565,51.1,-31.0276,3.6,33.0002,-3.10498,1.444722,,-8.6112,41.3,-7.6847,4.0484,6.4123,0.936389,3.058589,,-3.49,50.8,-8.17697,1.3233,11.9024,-0.97542,2.621991,,6.29,54.3,-5.90915,11.7704,2.4571,-5.82319,-0.358,,-6.4,49.73,-7.93633,-0.5,16.7434,0.657761,-1.50189,,-2.6,49.3,-2.89638,-1.4,6.906,1.832727,3.330313,,-11.4,47.3,-12.7984,2.4,14.6539,1.311333,-0.56343
20-Sep,4.9,51.5,9.397612,1.7,19.0819,1.663849,-0.50331,,-7.3464,56.8,5.9545,7.27,18.8415,1.498881,2.514392,,-3.9,64.9,-10.0311,3.14,28.06963,0.997276,-1.46691,,-3.3565,48.9,-12.9127,3.67,32.0569,-3.13967,-5.91396,,-8.6112,42.1,3.661144,4.0138,6.3387,2.422985,-1.05203,,-3.49,47.2,-0.84942,1.4219,11.7321,-0.90643,-3.69747,,6.29,52.8,4.579476,11.7483,2.4431,-3.81045,0.525637,,-6.4,49.858,-3.8573,-0.7,16.5092,-0.51477,-3.58115,,-2.6,49,14.54173,-1.4,6.7191,0.871615,-1.81818,,-11.4,50.1,2.853543,2.3,14.5667,0.526855,0.619669
20-Oct,6.5,51.4,10.92455,0.5,18.8391,1.600887,2.233667,,0.406,58.9,-5.10412,7.61,19.169,0.060391,1.845034,,-1.1447,66.7,-9.56482,3.92,27.97807,-4.21983,-3.91293,,--,46.9,-23.6617,4,31.4753,-2.02016,-4.93505,,-4.306,43.6,2.88506,4.09,6.354,1.753718,4.629603,,-2.1948,47.8,-3.48957,1.44,11.6771,0.663224,0.728543,,5.87,53.9,5.401998,11.89,2.4013,-5.3068,-0.42941,,-4.2,50.8,-6.70977,-0.5,16.2617,0.386886,-2.41314,,-3.4,48.5,1.076073,-1.4754,6.6538,-0.02834,0.230991,,-8.2704,48.5,-1.16782,2.5,14.8052,0.070832,3.693222
20-Nov,6.5,52.1,20.56882,-0.5,18.8802,1.497717,4.820388,,0.406,56.3,-8.73951,6.93,19.4015,-1.09296,4.977241,,-1.1447,64,-1.73324,4.31,27.86764,3.777698,8.994228,,--,46.3,-17.0222,4.4,30.9264,1.089946,8.399486,,-4.306,43.7,2.262038,3.33,6.1716,4.069767,9.310456,,-2.1948,50.6,9.428807,1.59,11.5598,3.450302,12.11099,,5.87,51.4,-1.03161,14.03,2.4496,-0.10737,6.970844,,-4.2,50.4,-3.64554,-0.41,16.4547,2.567642,13.02382,,-3.4,48.4,5.743907,-1.7,6.6734,0.965315,5.730543,,-8.2704,49.9,4.040177,3.3,14.841,0.474167,12.7125
20-Dec,6.5,51.9,18.14045,0.2,18.777,0.977924,2.680802,,0.406,56.4,0.13915,4.59,18.9153,0.872116,10.04032,,-1.1447,61.5,-0.17263,4.52,26.84983,5.083972,15.59779,,--,49.7,-10.0822,4.91,30.8919,3.511667,11.2025,,-4.306,42.4,11.4503,3.15,6.1275,2.241438,9.387883,,-2.1948,51.3,14.62007,1.68,11.51924,0.559262,9.712964,,5.87,50.8,16.0114,14.6,2.8212,3.357812,11.01353,,-4.2,50.8,4.712133,-0.27,16.4134,1.205034,10.9019,,-3.4,49.1,13.24327,-1.4,6.5147,1.355323,7.491204,,-8.2704,49.2,1.734597,3.5,15.4213,0.392119,6.179841
21-Jan,--,51.3,24.77852,-0.3,16.1633,1.0593,7.005302,,--,57.7,6.163193,4.06,14.057,0.694667,6.258321,,--,56.5,2.184672,4.56,22.30691,-4.21107,3.38144,,--,50.9,-14.7489,5.19,35.2263,-0.50667,4.773075,,--,43,-2.63057,3.54,5.7732,0.090681,3.921228,,--,52.2,12.1897,1.55,10.35267,0.697654,4.893293,,--,54.4,2.443304,14.97,2.9518,3.855048,11.1364,,--,49,0.345339,-0.34,14.4943,0.242146,3.952351,,--,48.9,7.637271,-0.2451,5.9788,0.441141,-1.32851,,--,52.5,-5.16126,4.2,13.7363,-0.01672,-0.62842
21-Feb,--,50.6,154.851,-0.2,17.5318,0.116907,1.411422,,--,57.5,0.671276,5.03,14.166,0.430368,5.233187,,--,58.4,3.852227,5.2,22.99941,-1.07042,-0.1718,,--,51.5,--,5.67,34.9648,0.077289,0.708529,,--,44.2,--,3.76,5.7533,-1.80506,-4.11256,,--,50.9,8.564172,1.38,10.43845,-0.06005,1.016398,,--,51.7,--,15.6109,3.0142,4.084738,6.948498,,--,47.2217,--,-1.17,14.3294,-0.03564,1.441215,,--,47.7,--,--,5.9788,-0.20146,0.241437,,--,52.5355,--,4.7,13.7879,-0.39672,-2.28114
